run_started_utc,run_finished_utc,job,status,rows_written,duration_sec,message
2026-09-24T10:04:13+00:00,2026-09-24T10:04:18+00:00,transform,SUCCESS,110448,5.1,
2026-09-24T10:04:20+00:00,2026-09-24T10:04:20+00:00,build_web_data,SUCCESS,2406,0.2,
2026-09-24T14:57:43+00:00,2026-09-24T15:05:44+00:00,ingest_hourly,SUCCESS,29331,481.3,
2026-09-24T15:05:45+00:00,2026-09-24T15:05:49+00:00,transform,SUCCESS,110448,4.7,
2026-09-24T15:05:52+00:00,2026-09-24T15:05:52+00:00,build_web_data,SUCCESS,2406,0.3,
2026-09-24T19:03:20+00:00,2026-09-24T19:15:09+00:00,ingest_hourly,SUCCESS,29040,709.0,
2026-09-24T19:15:09+00:00,2026-09-24T19:15:15+00:00,transform,SUCCESS,110448,5.8,
2026-09-24T19:15:17+00:00,2026-09-24T19:15:17+00:00,build_web_data,SUCCESS,2406,0.3,
2026-09-24T22:17:14+00:00,2026-09-24T22:28:50+00:00,ingest_hourly,SUCCESS,28869,695.6,
2026-09-24T22:28:51+00:00,2026-09-24T22:28:56+00:00,transform,SUCCESS,110448,5.7,
2026-09-24T22:28:58+00:00,2026-09-24T22:28:59+00:00,build_web_data,SUCCESS,2406,0.3,
2026-09-25T01:25:04+00:00,2026-09-25T01:32:00+00:00,ingest_hourly,SUCCESS,28698,415.2,
2026-09-25T01:32:00+00:00,2026-09-25T01:32:05+00:00,transform,SUCCESS,110592,4.8,
2026-09-25T01:32:07+00:00,2026-09-25T01:32:07+00:00,build_web_data,SUCCESS,2400,0.3,
